Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
712-92-5785,A,Yangon,Member,Female,Electronic accessories,31.82,4,6.364,133.644,03/24/2019,15:59,Credit card,127.28,4.761904762,6.364,8.5
978-36-8931,B,Mandalay,Member,Female,Sports and travel,16.36,6,4.908,103.068,03/25/2019,10:23,Cash,98.16,4.761904762,4.908,6.0
777-16-2026,C,Naypyitaw,Member,Male,Food and beverages,23.96,8,9.584,201.264,02/22/2019,10:11,Ewallet,191.68,4.761904762,9.584,4.3
879-37-5651,B,Mandalay,Normal,Female,Food and beverages,48.9,10,24.45,513.45,02/21/2019,12:52,Credit card,489.0,4.761904762,24.45,5.7
446-10-3749,C,Naypyitaw,Member,Female,Food and beverages,26.8,1,1.34,28.14,02/01/2019,14:13,Credit card,26.8,4.761904762,1.34,7.5
940-99-8559,B,Mandalay,Member,Male,Fashion accessories,89.2,9,40.14,842.94,02/25/2019,16:48,Credit card,802.8,4.761904762,40.14,5.1
360-42-9055,B,Mandalay,Member,Female,Food and beverages,74.49,9,33.5205,703.9305,03/29/2019,16:20,Cash,670.41,4.761904762,33.5205,6.7
982-47-9776,B,Mandalay,Normal,Male,Sports and travel,42.31,4,8.462,177.702,01/24/2019,12:27,Credit card,169.24,4.761904762,8.462,6.2
232-36-5041,C,Naypyitaw,Normal,Female,Home and lifestyle,14.12,7,4.942,103.782,03/13/2019,20:45,Ewallet,98.84,4.761904762,4.942,6.0
790-42-8058,C,Naypyitaw,Normal,Female,Electronic accessories,16.89,2,1.689,35.469,03/12/2019,16:28,Ewallet,33.78,4.761904762,1.689,10.0
159-55-6468,B,Mandalay,Member,Male,Home and lifestyle,90.64,10,45.32,951.72,02/08/2019,17:05,Cash,906.4,4.761904762,45.32,7.5
711-52-7257,A,Yangon,Normal,Male,Electronic accessories,72.56,8,29.024,609.504,01/11/2019,16:00,Ewallet,580.48,4.761904762,29.024,4.4
470-64-4798,B,Mandalay,Member,Male,Food and beverages,31.02,9,13.959,293.139,02/09/2019,13:54,Credit card,279.18,4.761904762,13.959,7.7
108-83-1905,A,Yangon,Normal,Male,Electronic accessories,57.91,8,23.164,486.444,03/23/2019,18:15,Cash,463.28,4.761904762,23.164,5.5
397-67-2969,C,Naypyitaw,Member,Female,Health and beauty,46.72,6,14.016,294.336,02/23/2019,13:38,Credit card,280.32,4.761904762,14.016,9.1
542-23-8849,B,Mandalay,Member,Male,Home and lifestyle,18.74,2,1.874,39.354,01/18/2019,19:43,Credit card,37.48,4.761904762,1.874,8.4
410-89-2646,B,Mandalay,Normal,Female,Food and beverages,13.29,10,6.645,139.545,03/16/2019,15:35,Cash,132.9,4.761904762,6.645,7.5
105-32-8129,C,Naypyitaw,Normal,Female,Home and lifestyle,74.64,4,14.928,313.488,03/09/2019,17:38,Credit card,298.56,4.761904762,14.928,4.4
101-31-9605,C,Naypyitaw,Normal,Female,Home and lifestyle,20.59,7,7.2065,151.3365,01/20/2019,11:38,Ewallet,144.13,4.761904762,7.2065,6.2
116-41-8898,C,Naypyitaw,Member,Female,Electronic accessories,36.03,7,12.6105,264.8205,02/15/2019,16:19,Ewallet,252.21,4.761904762,12.6105,4.4
396-75-4239,B,Mandalay,Member,Female,Home and lifestyle,19.41,4,3.882,81.522,03/04/2019,16:49,Cash,77.64,4.761904762,3.882,5.6
739-42-8586,C,Naypyitaw,Normal,Female,Electronic accessories,43.52,2,4.352,91.392,01/05/2019,13:57,Credit card,87.04,4.761904762,4.352,8.1
600-43-6608,B,Mandalay,Member,Male,Food and beverages,52.02,6,15.606,327.726,03/26/2019,12:05,Credit card,312.12,4.761904762,15.606,6.5
656-77-2635,B,Mandalay,Member,Male,Electronic accessories,30.64,8,12.256,257.376,02/03/2019,19:01,Ewallet,245.12,4.761904762,12.256,6.0
968-95-1334,A,Yangon,Normal,Female,Sports and travel,92.65,7,32.4275,680.9775,01/21/2019,14:49,Credit card,648.55,4.761904762,32.4275,7.9
702-67-1857,B,Mandalay,Member,Male,Health and beauty,98.8,3,14.82,311.22,02/11/2019,17:48,Ewallet,296.4,4.761904762,14.82,7.9
622-21-4122,B,Mandalay,Normal,Male,Food and beverages,85.16,9,38.322,804.762,01/18/2019,16:02,Ewallet,766.44,4.761904762,38.322,8.6
439-27-7957,B,Mandalay,Normal,Male,Health and beauty,32.07,4,6.414,134.694,03/11/2019,19:43,Ewallet,128.28,4.761904762,6.414,6.6
318-62-4271,B,Mandalay,Normal,Female,Health and beauty,69.07,5,17.2675,362.6175,01/07/2019,18:56,Ewallet,345.35,4.761904762,17.2675,7.9
263-50-8163,B,Mandalay,Normal,Female,Home and lifestyle,86.8,6,26.04,546.84,03/04/2019,12:57,Credit card,520.8,4.761904762,26.04,6.7
106-32-8988,A,Yangon,Normal,Male,Health and beauty,18.76,9,8.442,177.282,01/16/2019,11:28,Ewallet,168.84,4.761904762,8.442,5.4
486-38-5469,B,Mandalay,Member,Male,Home and lifestyle,15.23,7,5.3305,111.9405,01/20/2019,13:48,Cash,106.61,4.761904762,5.3305,5.2
447-54-6491,C,Naypyitaw,Normal,Female,Health and beauty,47.53,2,4.753,99.813,03/29/2019,11:37,Ewallet,95.06,4.761904762,4.753,4.2
644-71-2395,C,Naypyitaw,Normal,Male,Food and beverages,64.17,1,3.2085,67.3785,02/02/2019,18:32,Ewallet,64.17,4.761904762,3.2085,7.4
291-36-6344,C,Naypyitaw,Normal,Female,Food and beverages,92.92,2,9.292,195.132,03/13/2019,18:38,Credit card,185.84,4.761904762,9.292,6.2
152-13-3173,B,Mandalay,Normal,Female,Food and beverages,29.15,9,13.1175,275.4675,02/28/2019,11:06,Cash,262.35,4.761904762,13.1175,4.3
382-13-6435,A,Yangon,Member,Female,Food and beverages,44.23,7,15.4805,325.0905,01/19/2019,10:33,Credit card,309.61,4.761904762,15.4805,7.2
912-79-6172,A,Yangon,Member,Male,Sports and travel,30.76,2,3.076,64.596,01/25/2019,16:26,Credit card,61.52,4.761904762,3.076,4.7
736-95-8672,B,Mandalay,Normal,Male,Home and lifestyle,63.47,7,22.2145,466.5045,01/03/2019,19:11,Cash,444.29,4.761904762,22.2145,4.5
833-27-4448,A,Yangon,Member,Male,Health and beauty,37.75,2,3.775,79.275,03/19/2019,16:13,Ewallet,75.5,4.761904762,3.775,4.0
107-84-2786,A,Yangon,Member,Male,Electronic accessories,48.37,9,21.7665,457.0965,02/02/2019,16:25,Credit card,435.33,4.761904762,21.7665,7.6
339-89-2627,B,Mandalay,Normal,Female,Electronic accessories,46.79,7,16.3765,343.9065,02/14/2019,11:25,Cash,327.53,4.761904762,16.3765,4.6
512-68-3602,C,Naypyitaw,Member,Female,Food and beverages,67.36,6,20.208,424.368,03/22/2019,10:50,Credit card,404.16,4.761904762,20.208,4.5
716-69-6336,A,Yangon,Normal,Male,Food and beverages,66.0,7,23.1,485.1,01/06/2019,19:40,Cash,462.0,4.761904762,23.1,6.2
335-10-8676,B,Mandalay,Normal,Male,Electronic accessories,64.3,6,19.29,405.09,02/19/2019,18:49,Cash,385.8,4.761904762,19.29,8.7
